"StateName","CountyName","FIPSWinner","VariableName","VariableValue","TrumpVClinton","TrumpVClintonPCT","CumTrumpVClinton"
"New York","Rockland, NY","Clinton","MedianHouseholdIncome",84.249,-8431,-6.24116310229704,-0.639566529917447
"Kentucky","Oldham, KY","Trump","MedianHouseholdIncome",84.415,10201,31.0504367942045,-0.632121732803422
"New Jersey","Sussex, NJ","Trump","MedianHouseholdIncome",84.431,22446,29.8650842225711,-0.61574040587259
"Maryland","Carroll, MD","Trump","MedianHouseholdIncome",84.506,31648,34.4569288389513,-0.592643362537163
"New York","Westchester, NY","Clinton","MedianHouseholdIncome",85.688,-141688,-33.6827091084142,-0.696048755488057
"Massachusetts","Nantucket, MA","Clinton","MedianHouseholdIncome",86.014,-2254,-34.6342962507683,-0.697693748400027
"Virginia","Poquoson, VA","Trump","MedianHouseholdIncome",86.135,3491,48.6414936603038,-0.695145979874876
"Virginia","Goochland, VA","Trump","MedianHouseholdIncome",86.257,3495,24.8984825817482,-0.692595292107646
"Connecticut","Fairfield, CT","Clinton","MedianHouseholdIncome",86.297,-83775,-19.8891761572046,-0.753735168416586
"Colorado","Broomfield, CO","Clinton","MedianHouseholdIncome",86.548,-5364,-14.2318917484744,-0.757649872045606
"New Jersey","Monmouth, NJ","Trump","MedianHouseholdIncome",86.722,29542,9.29724626278521,-0.736089809665197
"Texas","Collin, TX","Trump","MedianHouseholdIncome",86.823,60390,16.7091381471367,-0.692016552365324
"New Hampshire","Rockingham, NH","Trump","MedianHouseholdIncome",87.103,10453,5.76132367692936,-0.684387843000271
"New York","Suffolk, NY","Trump","MedianHouseholdIncome",87.634,46619,6.84311578354036,-0.65036480637065
"Maryland","Charles, MD","Clinton","MedianHouseholdIncome",87.941,-23727,-30.3015210145205,-0.66768102057754
"Minnesota","Washington, MN","Clinton","MedianHouseholdIncome",88.329,-2658,-1.84282594377232,-0.669620856939572
"New Jersey","Bergen, NJ","Clinton","MedianHouseholdIncome",88.512,-55682,-13.1881301617904,-0.710258166311513
"Illinois","Kendall, IL","Trump","MedianHouseholdIncome",88.773,77,0.142447507168626,-0.710201970901477
