GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0500000US05099,05099,"Nevada County, Arkansas",8793,*****,8511,*****,282,*****
0500000US05101,05101,"Newton County, Arkansas",8052,*****,7967,84,85,84
0500000US05103,05103,"Ouachita County, Arkansas",25044,*****,24553,*****,491,*****
0500000US05105,05105,"Perry County, Arkansas",10300,*****,10018,*****,282,*****
0500000US05107,05107,"Phillips County, Arkansas",20391,*****,20070,*****,321,*****
0500000US05109,05109,"Pike County, Arkansas",11087,*****,10361,*****,726,*****
0500000US05111,05111,"Poinsett County, Arkansas",24210,*****,23580,*****,630,*****
0500000US05113,05113,"Polk County, Arkansas",20364,*****,19087,*****,1277,*****
0500000US05115,05115,"Pope County, Arkansas",62830,*****,57911,*****,4919,*****
0500000US05117,05117,"Prairie County, Arkansas",8402,*****,8309,*****,93,*****
0500000US05119,05119,"Pulaski County, Arkansas",390463,*****,367383,*****,23080,*****
0500000US05121,05121,"Randolph County, Arkansas",17695,*****,17378,*****,317,*****
0500000US05123,05123,"St. Francis County, Arkansas",27345,*****,26145,*****,1200,*****
0500000US05125,05125,"Saline County, Arkansas",113833,*****,109202,*****,4631,*****
0500000US05127,05127,"Scott County, Arkansas",10870,*****,10056,*****,814,*****
0500000US05129,05129,"Searcy County, Arkansas",7965,*****,7810,*****,155,*****
0500000US05131,05131,"Sebastian County, Arkansas",127273,*****,110501,*****,16772,*****
0500000US05133,05133,"Sevier County, Arkansas",17268,*****,11710,*****,5558,*****
0500000US05135,05135,"Sharp County, Arkansas",17055,*****,16721,*****,334,*****
0500000US05137,05137,"Stone County, Arkansas",12512,*****,12299,*****,213,*****
0500000US05139,05139,"Union County, Arkansas",40633,*****,39167,*****,1466,*****
0500000US05141,05141,"Van Buren County, Arkansas",17002,*****,16505,*****,497,*****
0500000US05143,05143,"Washington County, Arkansas",216432,*****,181700,*****,34732,*****
0500000US05145,05145,"White County, Arkansas",78660,*****,75451,*****,3209,*****
0500000US05147,05147,"Woodruff County, Arkansas",6983,*****,6951,26,32,26
0500000US05149,05149,"Yell County, Arkansas",21835,*****,17689,*****,4146,*****
0500000US06001,06001,"Alameda County, California",1584983,*****,1226815,*****,358168,*****
0500000US06003,06003,"Alpine County, California",1131,167,1023,146,108,57
